Sample Reads Reads_HQ SSU.rRNA.alignment.rate LSU.rRNA.alignment.rate Bacterial_Markers.alignment.rate total.enrichmnet.score
C04-01_R1 33822196 33819113 0.342927385469867 0.683231993695399 0.595547848933826 0.721010564437768
C04-02_R1 32185895 32182330 0.466855569500406 0.855854750106658 0.652401488642991 0.529616189485305
C04-05_R1 30079938 30077151 0.244245207932094 0.512103024651504 0.573751150832072 1.0123198315831
C04-06_R1 25282168 25281133 0.10090133223064 0.260937672374098 0.172065073191142 2.03216013646661
C04-07_R1 30716549 30715272 0.440129587652683 0.815073361551218 0.823062872436878 0.561776064811874
C04-09_R1 31099581 31096852 0.160395656769373 0.643624634416371 0.197987886362259 0.823876383137299
C04-10_R1 29268286 29266963 0.263498470955118 0.744874006913529 1E-06 0.71188836095684
C04-16_R1 29910778 29906740 0.228483612724088 0.354481966272486 0.310207665563014 1.08215317856242
C04-17_R1 30838660 30834827 0.430886153504283 0.735181682712214 0.557233546340312 0.573827368895342
C04-18_R1 29843775 29843045 0.083758208989733 0.511408939670868 0.053054237595393 1.03687498353528
C04-19_R1 30745040 30744228 0.064558459558653 0.335536153322829 0.023461314429492 1.58035767725704
C05-01_R1 29492661 29489412 0.274525650087564 0.516124227909326 0.675615370018229 0.900659984522145
C05-02_R1 32521047 32519361 0.551474550806825 0.935172127152191 0.800959772856545 0.448351183925089
C05-03_R1 28226849 28224536 0.179386474236459 0.352657701795346 0.418316885705402 1.37833283591314
C05-05_R1 30715989 30713882 0.215247945538112 0.395042866935544 0.607923804617078 1.14869513453738
C05-06_R1 27656412 27655025 0.150659780636611 0.416687383215166 0.228566056259215 1.27257785395247
C05-07_R1 31008810 31003194 0.334168795640862 0.566209404102042 0.534277210277109 0.739908306772384
C05-08_R1 30675016 30674178 0.106102272732459 0.434163223542616 0.099093119952554 1.22135433668065
C05-09_R1 34428378 34425853 0.33217477574194 0.603653887675637 0.68090978021663 0.744349920027895
C05-10_R1 28595194 28593182 0.288054683805391 0.639138379212219 0.467373655719745 0.829659355701054
C05-16_R1 32807330 32806148 0.65848633006228 1.29212365926045 0.88165791363253 0.375488839282983
C05-17_R1 26796865 26795603 0.770402517159252 1.49703665933549 0.923800819112001 0.320941666533634
C05-18_R1 31338645 31337869 0.301060675185029 0.861038126108702 0.400962171358876 0.615846290451118
C05-19_R1 28660583 28660177 0.192929722660122 0.756924843834705 0.166970357510353 0.700554540150388
C06-01_R1 30970840 30967133 0.155041798670868 0.285451029644882 0.577250725793699 1.21419086972647
C06-02_R1 32141005 32137477 0.282081882158951 0.500932291604596 0.595880628712702 0.876533671239017
C06-03_R1 27359371 27356860 0.298214049419414 0.533562696888459 0.718434060049289 0.829116764418612
C06-04_R1 28387414 28384880 0.220384937332833 0.585339800626249 0.28010335079803 0.905913343554801
C06-05_R1 28415060 28412262 0.211721967085901 0.389008097982484 0.637629626250807 1.09921580169175
C06-06_R1 28557804 28554871 0.279430434128034 0.502152504908882 0.421374692955188 0.884850887951261
C06-10_R1 31729680 31728125 0.489549886732985 0.981791391706885 1E-06 0.505064497938811
C06-16_R1 31043624 31041316 0.074317081144369 0.127017810713953 0.098307687728188 3.32701801458643
C06-17_R1 22286252 22284819 0.023621461767314 0.040085584720253 0.032726314716759 10.4673567704831
C06-18_R1 32212236 32208896 0.331380498108349 0.794500997488396 0.317291222896929 0.667421611272138
C06-19_R1 32364732 32361611 0.400360167483627 0.68335905774283 0.553059611278314 0.617579589180555
C07-01_R1 25758354 25756390 0.413738105378898 0.742965143795384 0.788212167931919 0.597610576701325
C07-02_R1 27365451 27364468 0.486316781309251 0.814000842260116 0.921417511204676 0.508422240937573
C07-03_R1 33451848 33449694 0.358669947772915 0.683554833117457 0.741785560130984 0.689364328665029
C07-04_R1 26839629 26836965 0.080530715749713 0.133509880867676 0.154313276482643 3.07031007308137
C07-05_R1 29508845 29506695 0.364446102825138 0.696648675834416 0.703203120512141 0.678438501172366
C07-06_R1 26969894 26968488 0.207182545791963 0.40634832772234 0.346611942056225 1.19341263432042
C07-09_R1 28713068 28709270 0.183735079296687 0.325894737135427 0.662775472869913 1.05751131339656
C07-10_R1 34145054 34143789 0.524809944203908 0.912464635954727 0.845729218863202 0.471131064663534
C07-16_R1 25268208 25266876 0.027059142570692 0.050022013010235 0.045221261227546 9.13754998381208
C07-17_R1 22685686 22684110 0.008653634636757 0.013780571510189 0.011435317497579 28.5723026378503
C07-18_R1 28374617 28373966 0.098139259065863 0.332720494554762 0.279266564286431 1.59373150911733
C07-19_R1 26881262 26880445 0.188080963689403 0.616451848174388 0.281103977259305 0.86019230451073
C08-01_R1 31375177 31371835 0.243250036218793 0.435696541180967 0.667270499159517 1.0164613810639
C08-02_R1 33751563 33748184 0.300131704864475 0.583637329937516 0.522102167038084 0.823819222532471
C08-03_R1 29767017 29765360 0.248181107166182 0.484200426267312 0.643204046583008 0.99626547154226
C08-04_R1 24977409 24975386 0.327110059480162 0.602529226174923 0.5524919614856 0.755874851882359
C08-05_R1 32345535 32343935 0.367852581944652 0.740098568711568 1E-06 0.672155857794141
C08-06_R1 28165361 28164200 0.253353548121374 0.681070294913401 0.32226372487058 0.778579156749819
C08-16_R1 26936430 26934863 0.011572362554805 0.020156033464882 0.01317994452023 21.3659282266555
C08-17_R1 24654375 24652634 0.017551877012412 0.032909262353061 0.019989750385294 14.0870556228233
C08-18_R1 33056657 33055949 1.27751286160322 2.49551449876692 1E-06 0.193543466520176
C08-19_R1 32872283 32871986 0.850316740826064 1.72129545199977 1.00666567575199 0.29077901902601
F01-01_R1 31403739 31400172 0.176629605723179 0.297332766202682 0.4418160511987 1.39984611722626
F01-02_R1 26686565 26683932 0.188641613987024 0.333800131105116 0.33468455848261 1.31070903462374
F01-03_R1 29906383 29905989 0.811773855731706 1.7129679275947 0.876205766008942 0.304585157569444
F01-04_R1 25518423 25517656 0.923031488472139 2.04541906200162 0.651141311725497 0.259246208149695
F01-05_R1 32637441 32635814 0.513815895629262 1.06992581830501 0.792650675114155 0.481211791737172
F01-06_R1 30451096 30450730 0.570249054784565 1.33808614768841 0.564446238234683 0.396287740379855
F01-09_R1 29474080 29468732 0.383077222325005 0.723078278359585 0.533704673821731 0.645442363443433
F01-10_R1 29175361 29174030 0.430859226510702 0.980275950905651 0.609429002438127 0.540936595874994
F01-16_R1 25466467 25464793 0.146001579514116 0.271928383631471 0.094495172216794 1.69350406058375
F01-17_R1 19285440 19284452 0.130441870995349 0.22822012261484 0.087640551051179 1.89551304249241
F01-18_R1 19859905 19858640 0.064208827996278 0.106376871729383 0.073922484117744 3.85078306947342
F01-19_R1 26315743 26314441 0.067974083127968 0.117445018117618 0.071078842222033 3.6374785268279
F01-31A_R1 21151280 21150037 0.119479696418498 0.223630814452003 0.074061336157473 2.06942497487395
F01-31B_R1 22616736 22615470 0.153448060111066 0.295227116659525 0.103119678697812 1.61132221273983
F02-01_R1 27903128 27897711 0.318302100125706 0.538929520059907 0.535219538262476 0.776791191956163
F02-02_R1 32250176 32245390 0.365627458684792 0.581921942950605 0.593077025894244 0.676246441249795
F02-03_R1 26712687 26708916 0.378323103790509 0.68139792719405 0.594696542532838 0.653553180552542
F02-04_R1 24345260 24343621 0.524630251185721 0.994872537655758 0.791574926343127 0.471292433480486
F02-05_R1 33074797 33070978 0.274727285053378 0.508654446203556 0.561153649583632 0.899998948814846
F02-06_R1 28595526 28595346 0.927126393224968 1.69139761414322 1.09884664448543 0.266688845841972
F02-07_R1 27854996 27851125 0.208810236570336 0.339548222917387 1E-06 1.18410989719611
F02-10_R1 29604040 29601611 0.350001221217318 0.575762582651329 1E-06 0.70643830012603
F02-18_R1 28549704 28547947 0.401513986277192 0.74591703564533 0.455549395548479 0.615804869093902
F02-19_R1 24155194 24153817 0.265067835862133 0.521470374640994 0.356001703581674 0.932796191414935
F02-31A_R1 26277183 26276155 0.023359582100197 0.011854854715235 0.005160572389682 10.5847042424921
F02-31B_R1 24979128 24977735 0.021250926074762 0.008311402134741 0.004564064756072 11.6349879007127
F03-01_R1 33457857 33454102 0.401908860085379 0.695179323599838 0.666537096108573 0.615199843333316
F03-02_R1 29874051 29870862 0.373434151314415 0.690806981064022 0.559876711960974 0.662109415779223
F03-03_R1 29425985 29423339 0.281419454127895 0.588644952906263 0.371643748522219 0.878596927582799
F03-04_R1 26176775 26175360 0.280183348003619 0.641970158194577 0.423776406513607 0.82599966545533
F03-05_R1 31878775 31877596 0.482925374924759 0.872148577326847 0.739610352047877 0.511992702386616
F03-06_R1 27592991 27592285 0.19728703150174 0.889502264854107 1E-06 0.596139163274642
F03-09_R1 34085158 34080965 0.233320858138847 0.383263795494054 0.469370512249286 1.05971780547652
F03-10_R1 30133331 30132099 0.325569752044157 0.784372837750201 0.472257176640764 0.676039646428833
F03-15_R1 26437864 26433690 0.177201896519177 0.297540751972199 0.510042298294336 1.37418516688829
F03-16_R1 23327992 23326071 0.056644773138177 0.081569673692582 0.039702357075051 4.36499705199024
F03-17_R1 25557042 25555433 0.077693850853554 0.130164102482631 0.080256906623339 3.18241746344699
F03-18_R1 28006475 28004747 0.36639859663792 0.727573078949794 0.52661072067532 0.674823184443408
F03-19_R1 25658859 25657325 0.288919441134257 0.553697628260156 0.34097864839768 0.855789651219425
F03-31_R1 26581251 26579666 0.114610168540116 0.199099567315857 0.128406429185378 2.15735018025257
F04-01_R1 29369030 29366135 0.203921966578169 0.417906544392035 0.611367481624667 1.14643415272778
F04-02_R1 30435414 30432615 0.217181467974408 0.41154531084496 0.547741296631919 1.13846853539056
F04-03_R1 25669242 25667629 0.296825234617502 0.577567955341726 0.796851941408379 0.832996116645595
F04-04_R1 25683522 25682048 0.159313618602379 0.313094189373059 0.226017800449559 1.55199706043903
F04-05_R1 33069375 33065588 0.214328564185824 0.398377914827947 0.566564852861531 1.1536225640201
F04-06_R1 24379434 24377595 0.143480109502188 0.350235533899058 0.210890368799711 1.51403008711805
F04-07_R1 23575070 23573168 0.119394219733215 0.228794025478459 1E-06 2.07090651717716
F04-09_R1 29488717 29485492 0.204117333365168 0.376758169746667 0.517261166949495 1.21133400913315
F04-10_R1 29509916 29508587 0.355123747538301 0.844306777549193 0.506845685291539 0.628050312991986
F04-16_R1 22132653 22130946 0.034173866765569 0.059608839134125 0.015241101758596 7.23518557191522
F04-17_R1 21025054 21024264 0.037803939296044 0.049281154384287 0.016561816385106 6.54043658843437
F04-18_R1 20261167 20259827 0.046155379312963 0.115311942199704 0.024274639660052 4.59854483226619
F04-19_R1 20353498 20352238 0.03518531966853 0.086413101104655 0.012902757917827 6.13642062514131
F04-31A_R1 23484631 23483088 0.034893196329205 0.084175471300878 0.013047687765766 6.29954460255565
F04-31B_R1 25551817 25550289 0.02621105381626 0.035678657098556 0.009416723231585 9.43320590969187
F05-01_R1 30228506 30225386 0.243417900436408 0.439557661893879 0.570351690463109 1.01576041579321
F05-02_R1 26567562 26565390 0.331427470103018 0.667037073425235 0.604865955289947 0.746028286918833
F05-03_R1 27915320 27913766 0.119779609816891 0.276193473858024 0.240526484316018 1.91991189543315
