gene	Family
blaOXA-304	Beta-lactam
blaOXA-32	Beta-lactam
blaOXA-372	Beta-lactam
blaOXA-395	Beta-lactam
blaOXA-396	Beta-lactam
blaOXA-405	Beta-lactam
blaOXA-416	Beta-lactam
blaOXA-427	Beta-lactam
blaOXA-45	Beta-lactam
blaOXA-48	Beta-lactam
blaOXA-51	Beta-lactam
blaOXA-519	Beta-lactam
blaOXA-53	Beta-lactam
blaOXA-539	Beta-lactam
blaOXA-54	Beta-lactam
blaOXA-55	Beta-lactam
blaOXA-58	Beta-lactam
blaOXA-60	Beta-lactam
blaOXA-62	Beta-lactam
blaOXA-74	Beta-lactam
blaOXA-82	Beta-lactam
blaOXA-97	Beta-lactam
blaSHV-100	Beta-lactam
blaSHV-102	Beta-lactam
blaSHV-104	Beta-lactam
blaSHV-105	Beta-lactam
blaSHV-106	Beta-lactam
blaSHV-12	Beta-lactam
blaSHV-128	Beta-lactam
blaSHV-129	Beta-lactam
blaSHV-13	Beta-lactam
blaSHV-134	Beta-lactam
blaSHV-15	Beta-lactam
blaSHV-16	Beta-lactam
blaSHV-18	Beta-lactam
blaSHV-2	Beta-lactam
blaSHV-24	Beta-lactam
blaSHV-27	Beta-lactam
blaSHV-2a	Beta-lactam
blaSHV-3	Beta-lactam
blaSHV-30	Beta-lactam
blaSHV-31	Beta-lactam
blaSHV-34	Beta-lactam
blaSHV-38	Beta-lactam
blaSHV-40	Beta-lactam
blaSHV-41	Beta-lactam
blaSHV-42	Beta-lactam
blaSHV-45	Beta-lactam
blaSHV-46	Beta-lactam
blaSHV-5	Beta-lactam
blaSHV-55	Beta-lactam
blaSHV-57	Beta-lactam
blaSHV-64	Beta-lactam
blaSHV-66	Beta-lactam
blaSHV-7	Beta-lactam
blaSHV-70	Beta-lactam
blaSHV-8	Beta-lactam
blaSHV-86	Beta-lactam
blaSHV-9	Beta-lactam
blaSHV-98	Beta-lactam
blaSHV-99	Beta-lactam
blaTEM-10	Beta-lactam
blaTEM-101	Beta-lactam
blaTEM-102	Beta-lactam
blaTEM-106	Beta-lactam
blaTEM-107	Beta-lactam
blaTEM-109	Beta-lactam
blaTEM-11	Beta-lactam
blaTEM-112	Beta-lactam
blaTEM-113	Beta-lactam
blaTEM-114	Beta-lactam
blaTEM-115	Beta-lactam
blaTEM-12	Beta-lactam
blaTEM-120	Beta-lactam
blaTEM-121	Beta-lactam
blaTEM-123	Beta-lactam
blaTEM-124	Beta-lactam
blaTEM-125	Beta-lactam
blaTEM-126	Beta-lactam
blaTEM-129	Beta-lactam
blaTEM-130	Beta-lactam
blaTEM-131	Beta-lactam
blaTEM-132	Beta-lactam
blaTEM-133	Beta-lactam
blaTEM-134	Beta-lactam
blaTEM-136	Beta-lactam
blaTEM-137	Beta-lactam
blaTEM-138	Beta-lactam
blaTEM-139	Beta-lactam
blaTEM-143	Beta-lactam
blaTEM-144	Beta-lactam
blaTEM-147	Beta-lactam
blaTEM-149	Beta-lactam
blaTEM-15	Beta-lactam
blaTEM-151	Beta-lactam
blaTEM-152	Beta-lactam
blaTEM-153	Beta-lactam
blaTEM-154	Beta-lactam
blaTEM-155	Beta-lactam
blaTEM-157	Beta-lactam
blaTEM-158	Beta-lactam
blaTEM-16	Beta-lactam
blaTEM-164	Beta-lactam
blaTEM-167	Beta-lactam
blaTEM-168	Beta-lactam
blaTEM-169	Beta-lactam
blaTEM-17	Beta-lactam
blaTEM-177	Beta-lactam
blaTEM-178	Beta-lactam
blaTEM-184	Beta-lactam
blaTEM-185	Beta-lactam
blaTEM-187	Beta-lactam
blaTEM-188	Beta-lactam
blaTEM-19	Beta-lactam
blaTEM-197	Beta-lactam
blaTEM-20	Beta-lactam
blaTEM-207	Beta-lactam
blaTEM-21	Beta-lactam
blaTEM-211	Beta-lactam
blaTEM-213	Beta-lactam
blaTEM-22	Beta-lactam
blaTEM-24	Beta-lactam
blaTEM-26	Beta-lactam
blaTEM-28	Beta-lactam
blaTEM-29	Beta-lactam
blaTEM-3	Beta-lactam
blaTEM-4	Beta-lactam
blaTEM-43	Beta-lactam
blaTEM-47	Beta-lactam
blaTEM-48	Beta-lactam
blaTEM-49	Beta-lactam
blaTEM-52	Beta-lactam
blaTEM-52B	Beta-lactam
blaTEM-52C	Beta-lactam
blaTEM-53	Beta-lactam
blaTEM-6	Beta-lactam
blaTEM-60	Beta-lactam
blaTEM-63	Beta-lactam
blaTEM-68	Beta-lactam
blaTEM-71	Beta-lactam
blaTEM-72	Beta-lactam
blaTEM-8	Beta-lactam
blaTEM-85	Beta-lactam
blaTEM-86	Beta-lactam
blaTEM-87	Beta-lactam
blaTEM-88	Beta-lactam
blaTEM-9	Beta-lactam
blaTEM-91	Beta-lactam
blaTEM-92	Beta-lactam
blaTEM-93	Beta-lactam
blaTEM-94	Beta-lactam
blaVIM-1	Beta-lactam
blaVIM-12	Beta-lactam
blaVIM-13	Beta-lactam
blaVIM-14	Beta-lactam
blaVIM-15	Beta-lactam
blaVIM-17	Beta-lactam
blaVIM-18	Beta-lactam
blaVIM-19	Beta-lactam
blaVIM-2	Beta-lactam
blaVIM-26	Beta-lactam
blaVIM-27	Beta-lactam
blaVIM-28	Beta-lactam
blaVIM-31	Beta-lactam
blaVIM-33	Beta-lactam
blaVIM-39	Beta-lactam
blaVIM-4	Beta-lactam
blaVIM-40	Beta-lactam
blaVIM-41	Beta-lactam
blaVIM-42	Beta-lactam
blaVIM-43	Beta-lactam
blaVIM-44	Beta-lactam
blaVIM-45	Beta-lactam
blaVIM-46	Beta-lactam
blaVIM-47	Beta-lactam
blaVIM-48	Beta-lactam
blaVIM-49	Beta-lactam
blaVIM-5	Beta-lactam
blaVIM-50	Beta-lactam
