resfinder_code	Sample_ule	Reads_code	Partner	Partner_code	Industry_code	Dataset_ID	UNITN_seq_ID	Industry_type	Industry_type2	Surface	Surface2	rindcore	Room	Ripening.time	Host	Product_type	Total_reads	Contigs	MAGs
Q01.13	WP4-ULEE-Q01-13	Q01-13_R1	ULE	Q01 A4	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-13	Cheese_Dairy	Semicured_cheese	Food_contact	-	-	Processing	-	Cow-Goat-Sheep	Semi-cured cheese	260814	9620	1
Q01.14	WP4-ULEE-Q01-14	Q01-14_R1	ULE	Q01 CN1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-14	Cheese_Dairy	Semicured_cheese	Negative_control_industry	-	-	-	-	Cow-Goat-Sheep	Semi-cured cheese	572075	13657	8
Q01.20	WP4-ULEE-Q01-20	Q01-20_R1	ULE	Q01 A7	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-20	Cheese_Dairy	Semicured_cheese	Raw_materials	Milk	-	Raw_material	-	Cow-Goat-Sheep	Semi-cured cheese	3250030	95749	1
Q01.21	WP4-ULEE-Q01-21	Q01-21_R1	ULE	Q01 A5	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-21	Cheese_Dairy	Semicured_cheese	Raw_materials	Whey	-	Raw_material	-	Cow-Goat-Sheep	Semi-cured cheese	1906084	14484	3
Q01.22	WP4-ULEE-Q01-22	Q01-22_R1	ULE	Q01 A6	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-22	Cheese_Dairy	Semicured_cheese	Raw_materials	Brine	-	Raw_material	-	Cow-Goat-Sheep	Semi-cured cheese	185783	26538	11
Q01.23	WP4-ULEE-Q01-23	Q01-23_R1	ULE	Q01 E1 2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-23	Cheese_Dairy	Semicured_cheese	Before_ripening	-	core	Final_product	-	Cow-Goat-Sheep	Semi-cured cheese	598204	9083	5
Q01.23X	WP4-ULEE-Q01-23X	Q01-23X_R1	ULE	Q01 E1 2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-23X	Cheese_Dairy	Semicured_cheese	Before_ripening	-	core	Final_product	-	Cow-Goat-Sheep	Semi-cured cheese	-	8796	5
Q01.24	WP4-ULEE-Q01-24	Q01-24_R1	ULE	Q01 E2 2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-24	Cheese_Dairy	Semicured_cheese	Before_ripening	-	core	Final_product	-	Cow-Goat-Sheep	Semi-cured cheese	509779	1466	2
Q01.25	WP4-ULEE-Q01-25	Q01-25_R1	ULE	Q01 E1 1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-25	Cheese_Dairy	Semicured_cheese	Before_ripening	-	rind	Final_product	-	Cow-Goat-Sheep	Semi-cured cheese	762187	9906	5
Q01.26	WP4-ULEE-Q01-26	Q01-26_R1	ULE	Q01 E2 1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-26	Cheese_Dairy	Semicured_cheese	Before_ripening	-	rind	Final_product	-	Cow-Goat-Sheep	Semi-cured cheese	648314	1583	2
Q01.27	WP4-ULEE-Q01-27	Q01-27_R1	ULE	Q01 F1 2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-27	Cheese_Dairy	Semicured_cheese	Final_product	-	core	Final_product	60 days	Cow-Goat-Sheep	Semi-cured cheese	1109295	9115	4
Q01.28	WP4-ULEE-Q01-28	Q01-28_R1	ULE	Q01 F2 2	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-28	Cheese_Dairy	Semicured_cheese	Final_product	-	core	Final_product	60 days	Cow-Goat-Sheep	Semi-cured cheese	519578	1449	2
Q01.29	WP4-ULEE-Q01-29	Q01-29_R1	ULE	Q01 F1 1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-29	Cheese_Dairy	Semicured_cheese	Final_product	-	rind	Final_product	60 days	Cow-Goat-Sheep	Semi-cured cheese	413362	21735	9
Q01.30	WP4-ULEE-Q01-30	Q01-30_R1	ULE	Q01 F2 1	Q01	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q01-30	Cheese_Dairy	Semicured_cheese	Final_product	-	rind	Final_product	60 days	Cow-Goat-Sheep	Semi-cured cheese	267965	19248	8
Q02.01	WP4-ULEE-Q02-01	Q02-01_R1	ULE	Q02 A1	Q02	AlvarezOrdonezA_xxxx	AlvarezOrdonezA_xxxx__Q02-01	Cheese_Dairy	Soft_cheese	Non_food_contact	-	-	Processing	-	Goat	Soft cheese	198575	92779	17
